bloaz,pH_KCl,KA,Ossz_so,CaCO3,Humusz,NO3_N,P2O5,K2O,Mg,Na,Zn,Cu,Mn,SO4,pH_KCl_range,KA_range,Ossz_so_range,CaCO3_range,Humusz_range,NO3_N_range,P2O5_range,K2O_range,Mg_range,Na_range,Zn_range,Cu_range,Mn_range,SO4_range
V7EAHK13,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
CA622613,4.8,41,0.02,0.2,0.8,13.2,71.7,152.7,290.3,15,1.4,4.6,332.3,5,Low-range,25%-50%,Low-range,Low-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,Low-range,50%-75%,Upper-range,Upper-range,Low-range
U60N3114,6.07,55,0.085,0.12,3.28,25,24.1,427,521,34.8,1.87,7.7,337,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,Upper-range,Low-range
XJY74Y12,7.2,45,0.04,1.5,1.4,15.5,91.5,250.5,184.7,47.8,0.7,3.8,42,30.3,50%-75%,25%-50%,Upper-range,50%-75%,Low-range,50%-75%,25%-50%,50%-75%,25%-50%,Upper-range,Low-range,Upper-range,25%-50%,Upper-range
DEM85313,7.5,34,0.02,2.6,1.3,9.8,159.8,114.2,86.8,18.1,0.8,1.2,10.4,5,Upper-range,Low-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
V3NNUC13,7.3,40,0.02,0.7,2,11.3,81.2,196.5,159.5,16.5,0.6,2.1,99.9,15.6,50%-75%,Low-range,Low-range,50%-75%,25%-50%,Low-range,25%-50%,25%-50%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,Upper-range
Y1Y15A12,5.7,46,0.02,0.1,1.42,11.4,251,122,384,23.6,1,1.7,87,7.5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,50%-75%,Low-range,Low-range,25%-50%,25%-50%,50%-75%
NQ5JAM13,7.5,43,0.02,2.6,2.5,7,150.5,217.076384,60.22625,15.557752,3.0224,0.8298,5.331,5,Upper-range,25%-50%,Low-range,50%-75%,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,Upper-range,Low-range,Low-range,Low-range
E30HNX15,6.6,62,0.04,0.2,1.8,11.9,116.7,257,1095.2,59.1,1.2,9.7,93.8,5,25%-50%,Upper-range,Upper-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range
CTWLFC13,7,50,0.03,0.5,1.2,14.7,472.3,263.9,306.8,40.1,4,5.1,166.7,14.4,50%-75%,Upper-range,50%-75%,50%-75%,Low-range,25%-50%,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range
D7WR0H13,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
X0RAT112,5.7,25,0.02,0.2,0.8,24.2,538,214.015115398414,30.42,33.2676705066369,19.382,4.0762,25.844,8.3,Low-range,Low-range,Low-range,Low-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,50%-75%,Upper-range,Upper-range,Low-range,Upper-range
C58DAP13,4.3,42,0.02,0.2,1,8.3,110.7,154.4,291.3,24.5,0.6,3.1,212,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,50%-75%,25%-50%,Low-range,50%-75%,Upper-range,Low-range
HK6ALF15,6.92,50,0.08,1.16,2.4,19.8,197,443,456,41,3.1,2.7,206,17.7,50%-75%,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range
U4H21R14,7.02,50,0.08,0.1,3.46,26.3,111,350.17,360.2,34.68,1.762,3.09,385.5,5,50%-75%,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range
N27XAE13,7.5,43,0.02,2.6,2.5,7,150.5,217.076384,60.22625,15.557752,3.0224,0.8298,5.331,5,Upper-range,25%-50%,Low-range,50%-75%,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,Upper-range,Low-range,Low-range,Low-range
F4HF1U15,6.5,54,0.04,0.5,2.4,45.6,290.1,209.8,250.6,23.6,2.1,5.8,176.1,5,25%-50%,Upper-range,Upper-range,50%-75%,50%-75%,Upper-range,Upper-range,25%-50%,25%-50%,Low-range,Upper-range,Upper-range,Upper-range,Low-range
JFMT7V13,7.3,42,0.02,1.7,2.1,17.5,199.7,229.7,143.5,10.6,0.9,1.7,28.4,5,50%-75%,25%-50%,Low-range,50%-75%,50%-75%,50%-75%,50%-75%,50%-75%,Low-range,Low-range,Low-range,25%-50%,Low-range,Low-range
KJ5FXU12,7.6,38,0.03,8.9,2.5,35.8,119.1,218.9,162.1,51.8,0.8,1.3,27.7,14.1,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,Upper-range,25%-50%,50%-75%,25%-50%,Upper-range,Low-range,Low-range,Low-range,Upper-range
QPJ5P213,5.2,47,0.04,0.2,2.8,37.3,75.8,257.2,585.5,33.3,1.3,2.7,180.2,5,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,25%-50%,50%-75%,Upper-range,Low-range
P0LWK114,5.9,51,0.02,0.2,1.9,22.5,31.2,171.098032,324.39375,42.468166,1.3622,4.0392,362.69,5,25%-50%,Upper-range,Low-range,Low-range,25%-50%,50%-75%,Low-range,25%-50%,50%-75%,50%-75%,50%-75%,Upper-range,Upper-range,Low-range
L0TNCP15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
LKYKFF15,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
L10YD815,7.3,40,0.02,1.4,2,35.5,137.7,180.2,109.4,19.2,1,2.7,53.4,5,50%-75%,Low-range,Low-range,50%-75%,25%-50%,Upper-range,25%-50%,25%-50%,Low-range,Low-range,Low-range,50%-75%,25%-50%,Low-range
KKA9UR12,7.5,28,0.02,0.2,0.8,17.8,206.2,143.6,75.2,29.3,3.5,1.6,119.3,5,Upper-range,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,Low-range
V5VP3W13,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
WX0JP812,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
ULKEH614,7.3,46,0.03,0.8,2.4,12.8,477.05345262,482.096048,318.25,30.97065,1.3182,1.0856,30.6072,5,50%-75%,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Low-range,Low-range,Low-range
UM2VRE14,6.9,52,0.04,0.2,2.6,12.7,268.6,419.4,457.4,42.6,1.4,2.6,145.1,8.8,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range
H09T4Y15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
NH4A3W13,7.29,25,0.02,0.1,1.2,16.5,235.1,246.54,80.01,63.3,2.424,2.36,135.1,51.8,50%-75%,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,50%-75%,Low-range,Upper-range,Upper-range,25%-50%,50%-75%,Upper-range
CRT1KQ13,5.5,47,0.02,0.2,1.4,26.6,132.5,271.034848,181.49,30.10585,3.7,3.7506,299.895,6.4,Low-range,50%-75%,Low-range,Low-range,Low-range,Upper-range,25%-50%,50%-75%,25%-50%,50%-75%,Upper-range,Upper-range,Upper-range,50%-75%
J3C7HW13,7.47,43,0.065,3.72,2.09,41.39,188.8,298.24,154,42.77,0.944,1.64,45.05,5.69,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,25%-50%,Upper-range,Low-range,Low-range,25%-50%,50%-75%
KCCHUT12,7.5,28,0.02,0.2,0.8,17.8,206.2,143.6,75.2,29.3,3.5,1.6,119.3,5,Upper-range,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,Low-range
H08QLC15,6.88,51,0.07,1.74,2.53,21.6,358,467,454,33.9,2,2.9,181,16.4,25%-50%,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range
HCLAKM15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
L1DYDN15,7.2,51,0.04,2.4,3.6,62.6,428.7,754,165.2,41.1,2.1,2.9,58.4,5,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,Upper-range,50%-75%,25%-50%,Low-range
V0PQK313,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
UVDN3414,6.65,53,0.095,0.28,3.73,17.3,53.3,554,387,42.7,2.14,7.16,339,5,25%-50%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,Upper-range,Upper-range,Upper-range,Upper-range,Low-range
N4EWV713,7.49,36,0.02,5.33,2.3573,11.8,72.09,216.0565,78.96,32.4,0.597,1.841,28.42,50.1,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Low-range,25%-50%,Low-range,50%-75%,Low-range,25%-50%,Low-range,Upper-range
UEW1JY14,6.9,52,0.04,0.2,2.6,12.7,268.6,419.4,457.4,42.6,1.4,2.6,145.1,8.8,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range
VKFJC113,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
V1HQX913,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
R12NJ712,7.2,38,0.02,0.2,1.1,9.3,288.7,196.454272,167.53875,26.62503,1.2852,4.121,338.105,5,50%-75%,Low-range,Low-range,Low-range,Low-range,Low-range,Upper-range,25%-50%,25%-50%,25%-50%,25%-50%,Upper-range,Upper-range,Low-range
DPXY0713,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
K81VWT12,7.6,38,0.03,8.9,2.5,35.8,119.1,218.9,162.1,51.8,0.8,1.3,27.7,14.1,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,Upper-range,25%-50%,50%-75%,25%-50%,Upper-range,Low-range,Low-range,Low-range,Upper-range
W75AKC12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
P6KTN614,5.2,47,0.04,0.2,2.8,37.3,75.8,257.2,585.5,33.3,1.3,2.7,180.2,5,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,25%-50%,50%-75%,Upper-range,Low-range
R42UDC12,7.29,44,0.04,12.28,2.76,9.05,162.2,191.35,437.8,63.32,0.699,2.27,24,5,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,Low-range,50%-75%,25%-50%,Upper-range,Upper-range,Low-range,25%-50%,Low-range,Low-range
L6H78215,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
N2YNK513,7.6,33,0.02,0.5,1.2,4.3,121.96735611,347.06504,86.275,41.255284,1.0138,1.6826,61.692,5,Upper-range,Low-range,Low-range,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,25%-50%,Low-range,25%-50%,Low-range
ULTFRQ14,6.9,52,0.04,0.2,2.6,12.7,268.6,419.4,457.4,42.6,1.4,2.6,145.1,8.8,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range
H59XPV15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
J1MT4A13,7,32,0.02,0.3,2.1,11.1,126.7,231.6,168.5,16.1,0.7,2.5,193.1,5,50%-75%,Low-range,Low-range,50%-75%,50%-75%,Low-range,25%-50%,50%-75%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range
F44MTE15,5.6,60,0.03,0.2,2.4,20.8,122.2,216.8,408.6,15.7,4.5,7.3,423,5,Low-range,Upper-range,50%-75%,Low-range,50%-75%,50%-75%,25%-50%,25%-50%,Upper-range,Low-range,Upper-range,Upper-range,Upper-range,Low-range
CWATF313,7,50,0.03,0.5,1.2,14.7,472.3,263.9,306.8,40.1,4,5.1,166.7,14.4,50%-75%,Upper-range,50%-75%,50%-75%,Low-range,25%-50%,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range
L5XDW915,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
QLQC0M13,4.9,46,0.03,0.2,1.5,14.5,49.6,213.237104831941,481.76875,40.1837696335079,4.159,2.3806,197.947,5,Low-range,25%-50%,50%-75%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Upper-range,50%-75%,Upper-range,25%-50%,Upper-range,Low-range
T828L815,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
YYY6FR12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
E9LHKN15,7.1,50,0.03,4.3,2.5,27,1062.9,721.1,242.9,46.6,1.2,2.8,16.9,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,50%-75%,Low-range,Low-range
YD9UK812,5.7,46,0.02,0.1,1.42,11.4,251,122,384,23.6,1,1.7,87,7.5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,50%-75%,Low-range,Low-range,25%-50%,25%-50%,50%-75%
K922LQ12,7.5,28,0.02,0.2,0.8,17.8,206.2,143.6,75.2,29.3,3.5,1.6,119.3,5,Upper-range,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,Low-range
C74UXP13,5.5,47,0.02,0.2,1.4,26.6,132.5,271.034848,181.49,30.10585,3.7,3.7506,299.895,6.4,Low-range,50%-75%,Low-range,Low-range,Low-range,Upper-range,25%-50%,50%-75%,25%-50%,50%-75%,Upper-range,Upper-range,Upper-range,50%-75%
H61D3F15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
V3UACP13,5.8,44,0.03,0.2,1.1,57.5,64.2,160.8,370.9,25.7,0.6,1.6,170.4,7.7,25%-50%,25%-50%,50%-75%,Low-range,Low-range,Upper-range,Low-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,50%-75%,Upper-range
JLQ5T213,7.2,44,0.02,1,2.7,11.1,182.2,292.3,165.1,18.4,0.9,2.2,70.7,5,50%-75%,25%-50%,Low-range,50%-75%,Upper-range,Low-range,50%-75%,50%-75%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,Low-range
VH64C813,7.3,33,0.02,2.2,0.4,2,67.8,91.8,147.2,18.5,1,1.3,21.8,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
N50VMJ13,7.49,36,0.02,5.33,2.3573,11.8,72.09,216.0565,78.96,32.4,0.597,1.841,28.42,50.1,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Low-range,25%-50%,Low-range,50%-75%,Low-range,25%-50%,Low-range,Upper-range
NWLPVY13,7.49,36,0.02,5.33,2.3573,11.8,72.09,216.0565,78.96,32.4,0.597,1.841,28.42,50.1,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Low-range,25%-50%,Low-range,50%-75%,Low-range,25%-50%,Low-range,Upper-range
W2DPMV12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
J46EHY13,7.6,43,0.04,1.5,2.2,35.8,246.1,558.2,172.4,45.9,2.8,1.7,45.2,47,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,25%-50%,25%-50%,Upper-range
C8FEXN13,4.3,42,0.02,0.2,1,8.3,110.7,154.4,291.3,24.5,0.6,3.1,212,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,50%-75%,25%-50%,Low-range,50%-75%,Upper-range,Low-range
RTC2FM12,6.8,42,0.02,0.2,1.3,5.7,41.8,140.1,241.7,15.3,0.8,3,246.8,5,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range
J0CCR713,7.5,42,0.02,1.6,2.4,21.8,305.3,402.1,131.8,34.5,3.1,1.4,9.7,5,Upper-range,25%-50%,Low-range,50%-75%,50%-75%,50%-75%,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Low-range,Low-range
LE6XQ615,4.89,61.2,0.03,0.2,4.28599132723781,8.7009062908084,141.123584289469,293.231792,1061.5,42.464,5.0402,11.3842,53.1798,8.6,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Low-range,25%-50%,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range
J2YD4913,7,42,0.02,0.5,1.5,16,110.4,288.1,199.8,9.8,0.8,2.4,195.3,5,50%-75%,25%-50%,Low-range,50%-75%,25%-50%,50%-75%,25%-50%,50%-75%,25%-50%,Low-range,Low-range,25%-50%,Upper-range,Low-range
N298M413,7.6,33,0.02,0.5,1.2,4.3,121.96735611,347.06504,86.275,41.255284,1.0138,1.6826,61.692,5,Upper-range,Low-range,Low-range,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,25%-50%,Low-range,25%-50%,Low-range
U2TN3P14,6.83,50,0.075,0.1,3.5,18.4,103.5,363.55,395.6,38.37,2.017,3.415,448.7,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Low-range
D4L9UF13,7.5,38,0.02,8.2,2.4,12.1,285.9,315.4,235.4,49.3,1.6,1,14.5,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Low-range
H26AP215,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
L0RM5E15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
HF7JKK15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
KHN2ED12,7.2,59,0.03,14.8,2.3,22.8,383.9,260.4,335.5,46.5,1.7,5,19.7,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range,Low-range
X6W40A12,7.2,40,0.03,2.5,2.1,17,119,179.305635041164,358.1375,48.1810107105747,0.834,2.2074,31.998,5,50%-75%,Low-range,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,25%-50%,50%-75%,Upper-range,Low-range,25%-50%,Low-range,Low-range
LDRM5U15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
J3H04E13,7.3,38,0.02,0.8,1.6,8.1,160.3,236,121.9,13.2,0.8,1.7,45.6,5,50%-75%,Low-range,Low-range,50%-75%,25%-50%,Low-range,50%-75%,50%-75%,Low-range,Low-range,Low-range,25%-50%,25%-50%,Low-range
VT1AKT13,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
J46QME13,7.5,39,0.02,6.7,2.4,10.6,2215.8,528.9,91,25.1,2.2,2.5,30.3,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,Low-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range
HA8QCF15,6.86,58,0.09,1,2.93,20,132,589,451,24.6,2.1,2.4,224,17.5,25%-50%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,Upper-range,Upper-range
D5MC0Q13,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
D1L9UC13,7.4,37,0.02,3.3,2.4,6.9,348.9,334.8,229.9,42.3,1.7,1.5,32.6,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,Low-range,Low-range,Low-range
J6MT0C13,7.5,46,0.03,3,2.1,28.1,194.2,301.7,148,34.2,0.8,2.5,29.4,31.2,Upper-range,25%-50%,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Low-range,50%-75%,Low-range,50%-75%,Low-range,Upper-range
KKRNE612,7.2,59,0.03,14.8,2.3,22.8,383.9,260.4,335.5,46.5,1.7,5,19.7,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range,Low-range
R0D8AW12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
L3LXR915,4.89,61.2,0.03,0.2,4.28599132723781,8.7009062908084,141.123584289469,293.231792,1061.5,42.464,5.0402,11.3842,53.1798,8.6,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Low-range,25%-50%,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range
LNW5F315,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
Q5AC0R13,4.9,46,0.03,0.2,1.5,14.5,49.6,213.237104831941,481.76875,40.1837696335079,4.159,2.3806,197.947,5,Low-range,25%-50%,50%-75%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Upper-range,50%-75%,Upper-range,25%-50%,Upper-range,Low-range
CU8F2613,4.8,40,0.04,0.2,0.9,50.6,127.3,209.7,328.4,13.1,1,4.1,285.3,5,Low-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,25%-50%,25%-50%,50%-75%,Low-range,Low-range,Upper-range,Upper-range,Low-range
